title,categories,primary_image,extra_images,description,price
The Icon Table Lamp: Dog Edition,"table lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/105819486_650_k?fit=constrain&wid=1200&qlt=80,,The Icon Table Lamp: Dog Edition — from Anthropologie.,$128 
Bosette Bow Velvet and Wood Table Lamp,"table lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/107391344_014_k?fit=constrain&wid=1200&qlt=80,,Bosette Bow Velvet and Wood Table Lamp — from Anthropologie.,$178 
The Eloise Scallop Milk Glass Table Lamp,"table lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/48882138_027_k?fit=constrain&wid=1200&qlt=80,,The Eloise Scallop Milk Glass Table Lamp — from Anthropologie.,$148 
MacKenzie-Childs LED Rechargeable Cordless Dome Table Lamp,"table lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/111719324_001_b?fit=constrain&wid=1200&qlt=80,,MacKenzie-Childs LED Rechargeable Cordless Dome Table Lamp — from Anthropologie.,$398 
Lulu Printed Fabric Upholstered Empire Table Lamp,"table lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/77776565_000_k?fit=constrain&wid=1200&qlt=80,,Lulu Printed Fabric Upholstered Empire Table Lamp — from Anthropologie.,$168 
Sinclair Fringe Velvet Table Lamp,"table lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/103851606_040_k?fit=constrain&wid=1200&qlt=80,,Sinclair Fringe Velvet Table Lamp — from Anthropologie.,$188 
Cyndi Etched Flower Glass Table Lamp,"table lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/103116588_066_b2?fit=constrain&wid=1200&qlt=80,,Cyndi Etched Flower Glass Table Lamp — from Anthropologie.,$158 
Dumpling Wood Floor Lamp,"floor lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/107391021_237_k?fit=constrain&wid=1200&qlt=80,,Dumpling Wood Floor Lamp — from Anthropologie.,$298 
Lulu Printed Fabric Upholstered Empire Floor Lamp,"floor lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/86571999_029_b2?fit=constrain&wid=1200&qlt=80,,Lulu Printed Fabric Upholstered Empire Floor Lamp — from Anthropologie.,$248 
Sinclair Tassel-Fringed Velvet Floor Lamp,"floor lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/93797736_044_b2?fit=constrain&wid=1200&qlt=80,,Sinclair Tassel-Fringed Velvet Floor Lamp — from Anthropologie.,$268 
